date,time,temp,humid,windspd
13/1/2010,4,24.00,73.00,9.30
13/1/2010,5,23.00,78.00,7.40
13/1/2010,6,22.67,69.00,7.43
13/1/2010,7,22.00,69.00,5.60
13/1/2010,8,22.50,69.00,6.50
13/1/2010,9,21.50,57.50,4.65
13/1/2010,10,24.00,42.50,13.00
13/1/2010,11,26.00,34.00,14.80
13/1/2010,12,26.67,31.33,11.13
13/1/2010,13,27.50,32.00,13.00
13/1/2010,14,28.50,27.50,15.75
13/1/2010,15,28.33,28.67,16.07
13/1/2010,16,28.00,35.00,18.55
13/1/2010,17,27.50,34.50,16.65
13/1/2010,18,26.67,31.33,14.20
13/1/2010,19,25.50,37.50,17.60
13/1/2010,20,24.00,36.00,14.80
13/1/2010,21,23.67,35.33,13.60
13/1/2010,22,23.00,41.00,13.90
13/1/2010,23,22.00,43.00,9.30
13/1/2010,24,21.67,45.67,8.03
14/1/2010,1,21.00,49.00,8.35
14/1/2010,2,21.00,47.50,2.80
14/1/2010,3,20.00,51.00,3.73
14/1/2010,4,21.50,44.50,8.35
14/1/2010,5,20.00,49.00,0.00
14/1/2010,6,18.67,49.33,0.00
14/1/2010,7,20.00,46.00,6.50
14/1/2010,8,20.00,46.00,5.60
14/1/2010,9,18.67,52.33,0.00
14/1/2010,10,23.00,36.00,13.00
14/1/2010,11,24.50,35.00,11.10
14/1/2010,12,26.67,28.00,9.27
14/1/2010,13,28.50,29.50,8.35
14/1/2010,14,29.50,29.50,10.20
14/1/2010,15,29.33,35.67,14.83
14/1/2010,16,30.00,38.50,13.00
14/1/2010,17,30.00,41.50,11.10
14/1/2010,18,28.33,42.33,12.97
14/1/2010,19,27.00,48.00,13.90
14/1/2010,20,26.00,51.00,9.30
14/1/2010,21,25.33,49.67,10.50
14/1/2010,22,25.00,54.00,7.40
14/1/2010,23,25.00,54.00,6.50
14/1/2010,24,23.33,59.00,6.20
15/1/2010,1,24.00,57.00,6.50
15/1/2010,2,23.00,61.00,7.45
15/1/2010,3,22.33,61.67,0.00
15/1/2010,4,24.00,53.00,0.00
15/1/2010,5,25.00,45.50,8.35
15/1/2010,6,23.00,53.50,0.95
15/1/2010,7,24.00,53.00,5.60
15/1/2010,8,25.00,44.00,13.90
15/1/2010,9,24.67,42.00,12.37
15/1/2010,10,26.50,43.00,14.85
15/1/2010,11,28.00,42.00,9.30
15/1/2010,12,30.50,34.50,10.20
15/1/2010,13,31.00,40.00,9.25
15/1/2010,14,31.00,43.00,9.25
15/1/2010,15,32.00,39.33,7.40
15/1/2010,16,32.00,40.00,11.10
15/1/2010,17,31.00,49.00,13.90
15/1/2010,18,29.67,45.67,11.77
15/1/2010,19,29.50,46.50,14.80
15/1/2010,20,28.50,51.00,9.30
15/1/2010,21,27.67,52.67,5.57
15/1/2010,22,28.00,54.00,7.40
15/1/2010,23,27.00,54.00,7.45
15/1/2010,24,25.50,59.50,3.70
16/1/2010,1,26.50,55.50,4.65
16/1/2010,2,27.00,54.00,11.10
16/1/2010,3,25.33,60.00,6.20
16/1/2010,4,26.00,57.00,9.25
16/1/2010,5,26.00,57.00,10.20
16/1/2010,6,25.67,56.00,11.73
16/1/2010,7,26.00,57.00,16.65
16/1/2010,8,25.00,61.00,16.70
16/1/2010,9,25.67,55.00,12.97
16/1/2010,10,27.00,54.00,14.80
16/1/2010,11,29.00,49.50,13.90
16/1/2010,12,30.50,43.00,13.90
16/1/2010,13,32.00,41.50,16.65
16/1/2010,14,33.00,34.00,14.80
16/1/2010,15,33.00,27.67,10.53
16/1/2010,16,33.50,27.50,16.70
16/1/2010,17,33.00,38.00,13.00
16/1/2010,18,32.00,38.33,11.10
16/1/2010,19,29.00,54.50,11.10
16/1/2010,20,28.50,56.50,7.40
16/1/2010,21,28.00,50.00,9.30
16/1/2010,22,28.00,51.00,10.20
16/1/2010,23,27.50,51.00,3.70
16/1/2010,24,25.67,55.67,0.00
17/1/2010,1,27.00,54.00,5.60
17/1/2010,2,25.00,61.00,7.40
17/1/2010,3,23.00,68.50,0.00
17/1/2010,4,24.00,65.00,0.00
17/1/2010,5,24.00,65.00,0.00
17/1/2010,6,22.00,69.67,2.47
17/1/2010,7,23.00,65.00,2.80
17/1/2010,8,23.00,65.00,6.50
17/1/2010,9,23.33,64.00,4.97
17/1/2010,10,0.0,0.0,0.0
17/1/2010,11,29.00,41.00,13.90
17/1/2010,12,31.00,29.50,11.10
17/1/2010,13,32.00,29.00,18.50
17/1/2010,14,32.00,27.00,13.00
17/1/2010,15,32.50,21.50,19.45
17/1/2010,16,32.00,28.00,19.45
17/1/2010,17,32.00,27.00,20.35
17/1/2010,18,31.00,27.33,17.90
17/1/2010,19,29.50,35.00,16.65
17/1/2010,20,29.00,37.00,14.80
17/1/2010,21,27.67,36.00,10.50
17/1/2010,22,27.00,42.00,8.35
17/1/2010,23,26.00,45.50,6.50
17/1/2010,24,24.33,49.00,4.33
18/1/2010,1,25.50,44.50,9.30
18/1/2010,2,24.00,52.00,5.60
18/1/2010,3,22.00,58.67,1.87
18/1/2010,4,23.50,51.50,7.40
